,P(s->i),Variance,Error
0,0.2,0.0,0.0
1,0.20612244897959184,0.0,0.0
2,0.2122448979591837,0.0,0.0
3,0.21836734693877552,0.0,0.0
4,0.22448979591836735,0.0,0.0
5,0.2306122448979592,0.0,0.0
6,0.23673469387755103,0.0,0.0
7,0.24285714285714288,0.0,0.0
8,0.2489795918367347,0.0,0.0
9,0.25510204081632654,0.0,0.0
10,0.2612244897959184,0.0,0.0
11,0.2673469387755102,0.0,0.0
12,0.27346938775510204,0.0,0.0
13,0.2795918367346939,0.0,0.0
14,0.2857142857142857,0.0,0.0
15,0.29183673469387755,0.0,0.0
16,0.2979591836734694,6.566043812222221,0.7715219706433141
17,0.3040816326530612,425.13545144888883,10.854100757571167
18,0.31020408163265306,535.13498396,20.403272569474577
19,0.3163265306122449,2201.4067543455553,17.562059726575757
20,0.3224489795918367,2077.9009305555555,16.95643928837872
21,0.32857142857142857,1706.8778474622222,13.987881450401188
22,0.3346938775510204,1747.185279888889,14.265126209852536
23,0.3408163265306122,1654.6231353955554,13.514573934908437
24,0.3469387755102041,1557.6714013766666,12.691656556787926
25,0.35306122448979593,1464.7427061288888,11.976617075743034
26,0.35918367346938773,1418.0853737766665,11.718194414469101
27,0.3653061224489796,1436.067286182222,11.471438474876214
28,0.37142857142857144,1364.146037848889,11.754439419411623
29,0.37755102040816324,1338.3771207066666,10.760685806269946
30,0.3836734693877551,1332.2506538266666,10.894246735587872
31,0.38979591836734695,1283.9371130622221,10.672557599731201
32,0.39591836734693875,1291.5729797322224,10.639544877506362
33,0.4020408163265306,1244.1190220622225,9.75807893721347
34,0.40816326530612246,1259.9690602488888,9.590513986126105
35,0.41428571428571426,1268.3398769955556,10.01954071302878
36,0.4204081632653061,1176.8025603733333,9.474684054902236
37,0.42653061224489797,1162.6131482655555,9.445640582781682
38,0.43265306122448977,1194.5736342655555,9.941444108503086
39,0.4387755102040816,1140.2564806399998,9.194262802366966
40,0.4448979591836735,1134.8941477766668,9.829526133553717
41,0.45102040816326533,1172.3754421233336,9.558977858983717
42,0.45714285714285713,1143.2060826388888,8.81270489558588
43,0.463265306122449,1125.9160081733335,9.519513892681152
44,0.46938775510204084,1118.5622966400003,9.465914624152749
45,0.47551020408163264,1106.8573175822225,8.573719657460652
46,0.4816326530612245,1088.7834721733334,9.039089875928846
47,0.48775510204081635,1118.3655447288888,9.312802977406715
48,0.49387755102040815,1082.463798478889,8.390608117883097
49,0.5,1074.1983936433335,9.054216144421794
