0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.156981695999999243e-05,1.177736958400000123e-04,1.168595902400000104e-04,1.459467929600000049e-04,1.459250225599999934e-04,1.295701759999999688e-04,1.274985439999999995e-04,1.276612582400000182e-04,1.137583737600000047e-04,1.148952134399999986e-04,1.406312550400000264e-04,1.093132102399999852e-04,1.295061785600000275e-04,1.037037105599999921e-04,1.234740601600000189e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.980829424000000576e-05,9.662681855999999403e-05,7.327047023999999631e-05,1.036650214400000077e-04,7.876135615999998443e-05,9.448088063999999955e-05,9.264240575999999300e-05,1.127955966400000129e-04,8.715288255999999807e-05,8.922854384000000446e-05,9.843460096000001137e-05,1.000527200000000066e-04,9.218127600000001240e-05,9.459574000000000921e-05,8.904895743999999540e-05,9.466712255999999747e-05,8.059806975999999875e-05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.064282558399999877e-04,8.019398000000001040e-05,8.862250943999999762e-05,7.793525504000000195e-05,8.055062000000002263e-05,9.279055855999998072e-05,9.604461936000000444e-05,7.834082304000000274e-05,8.543333616000000318e-05,9.382704575999999120e-05,8.089157999999999505e-05,1.005045913600000025e-04,8.919666624000000899e-05,1.052004678400000122e-04,9.068787823999999176e-05,9.689023743999999633e-05,8.826328176000000744e-05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.249852096000000027e-05,8.288151999999999043e-05,8.891908543999999849e-05,1.096244550400000170e-04,9.165250416000001214e-05,9.199476224000000077e-05,1.050290969600000063e-04,9.198075376000001047e-05,8.403124416000000711e-05,8.523841136000001779e-05,9.494346223999999509e-05,8.953935599999999822e-05,9.436009455999999184e-05,9.495699135999999480e-05,8.805055599999999988e-05,9.538734704000000867e-05,8.807150703999999707e-05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.581360384000000066e-05,9.098990335999998275e-05,7.488756224000000302e-05,9.042865599999998986e-05,8.146340096000001367e-05,9.206673343999998641e-05,8.773482175999999658e-05,9.174847999999999608e-05,9.399022336000001029e-05,8.928449984000000491e-05,8.855173744000000154e-05,1.000361022399999972e-04,9.621467503999998287e-05,8.795550399999999935e-05,1.009767039999999959e-04,9.513541103999999997e-05,9.346352575999997202e-05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.280186623999999948e-05,9.363039599999999963e-05,8.392541376000001044e-05,8.902122736000000851e-05,8.452751599999996999e-05,8.727424623999999360e-05,9.106944256000000450e-05,8.801336000000001074e-05,8.740276416000000834e-05,9.489128383999998948e-05,9.040849136000001624e-05,9.019651824000000126e-05,9.331944703999998057e-05,9.978591600000003383e-05,9.705202416000000140e-05,8.981091183999999989e-05,9.489402815999999693e-05
0.000000000000000000e+00,0.000000000000000000e+00,8.244975999999999012e-08,9.022223600000001023e-05,8.022159600000000699e-05,8.900512000000000072e-05,9.260444399999999757e-05,8.999916223999998891e-05,8.841142384000000710e-05,9.359494144000001209e-05,8.538550000000000436e-05,8.679607536000000614e-05,9.438932735999996818e-05,9.490522095999999875e-05,9.142364144000000121e-05,9.273008895999998544e-05,9.558943215999998787e-05,1.007813745599999962e-04,9.016712815999999311e-05,9.252918895999999894e-05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.453983599999999158e-05,8.153202176000000237e-05,8.930547696000000523e-05,8.525886063999998379e-05,9.094685935999999651e-05,9.022980463999998090e-05,9.340189695999997642e-05,9.465819584000000639e-05,9.403212736000001164e-05,9.705151600000000119e-05,9.208753136000000076e-05,8.922397424000000300e-05,8.810174463999999978e-05,1.035746374399999759e-04,1.042360953600000167e-04,9.494591744000002102e-05,9.484606143999999885e-05
0.000000000000000000e+00,0.000000000000000000e+00,3.509760000000001744e-09,1.034917873599999955e-04,1.031269702400000111e-04,9.896824256000000416e-05,8.958622399999999176e-05,8.675797184000000469e-05,8.650342000000001076e-05,8.962420463999998114e-05,9.057204335999999756e-05,8.630989295999999999e-05,8.415095295999999996e-05,9.596525935999998221e-05,9.530803696000000489e-05,1.004074745600000098e-04,9.043324399999996658e-05,1.007088369600000024e-04,9.865766400000000396e-05,1.006777599999999839e-04
