,Immune Fraction,Infected Fraction
0,0.0,0.25511720000000004
1,0.02040816326530612,0.24562759999999997
2,0.04081632653061224,0.22719600000000004
3,0.061224489795918366,0.21611439999999998
4,0.08163265306122448,0.20784640000000001
5,0.1020408163265306,0.1889736
6,0.12244897959183673,0.165752
7,0.14285714285714285,0.15785239999999998
8,0.16326530612244897,0.1394184
9,0.18367346938775508,0.11210120000000001
10,0.2040816326530612,0.1000804
11,0.22448979591836732,0.0650532
12,0.24489795918367346,0.037238
13,0.26530612244897955,0.022915599999999998
14,0.2857142857142857,0.0029988000000000007
15,0.3061224489795918,0.0016371999999999997
16,0.32653061224489793,0.0
17,0.3469387755102041,0.0007168
18,0.36734693877551017,1.32e-05
19,0.3877551020408163,0.0
20,0.4081632653061224,2.6799999999999998e-05
21,0.42857142857142855,0.0
22,0.44897959183673464,0.0
23,0.4693877551020408,0.0
24,0.4897959183673469,0.0
25,0.5102040816326531,0.0
26,0.5306122448979591,0.0
27,0.5510204081632653,0.0
28,0.5714285714285714,0.0
29,0.5918367346938775,0.0
30,0.6122448979591836,0.0
31,0.6326530612244897,0.0
32,0.6530612244897959,0.0
33,0.673469387755102,0.0
34,0.6938775510204082,0.0
35,0.7142857142857142,0.0
36,0.7346938775510203,0.0
37,0.7551020408163265,0.0
38,0.7755102040816326,0.0
39,0.7959183673469387,0.0
40,0.8163265306122448,0.0
41,0.836734693877551,0.0
42,0.8571428571428571,0.0
43,0.8775510204081632,0.0
44,0.8979591836734693,0.0
45,0.9183673469387754,0.0
46,0.9387755102040816,0.0
47,0.9591836734693877,0.0
48,0.9795918367346939,0.0
49,1.0,0.0
